Reading,Currency,Max,Min,Mean,Vol,FD,R
22,USD_CAD,1.34935,1.34835,1.3490476,0.001,5870.0,0.0004298
22,USD_JPY,138.925,138.818,138.8765722,0.107,41.308411214953274,0.0001285
22,USD_MXN,19.302265,19.297,19.30018,0.005265,678.0626780626781,-3.39e-05
22,EUR_USD,1.03455,1.03365,1.0339959,0.0009,10566.666666666668,-0.0005334
22,EUR_JPY,143.64,143.557,143.5996843,0.083,58.91566265060241,-0.0004109
22,USD_CZK,23.5331,23.5133,23.5256851,0.0198,424.7474747474747,0.0005587
22,USD_PLN,4.526942,4.522332,4.5246147,0.00461,2190.889370932755,0.0005192
22,USD_INR,81.69415,81.67225,81.6881989,0.0219,265.29680365296804,3.96e-05
23,AUD_USD,0.665,0.66458,0.6647842,0.00042,7619.047619047618,2.17e-05
23,GBP_EUR,1.156225,1.155725,1.1560048,0.0005,10940.0,-8.7e-05
23,USD_CAD,1.349155,1.34865,1.3489289,0.000505,5920.79207920792,-8.8e-05
23,USD_JPY,138.961,138.855,138.8944583,0.106,20.0,0.0001288
23,USD_MXN,19.3021,19.30041,19.3012391,0.00169,1378.698224852071,5.49e-05
23,EUR_USD,1.03405,1.03354,1.0337715,0.00051,5549.019607843137,-0.000217
23,EUR_JPY,143.64,143.555,143.585775,0.085,70.0,-9.69e-05
23,USD_CZK,23.537,23.525,23.5313937,0.012,282.5,0.0002427
23,USD_PLN,4.527159,4.5244575,4.5259372,0.0027015,1950.7680918008514,0.0002923
23,USD_INR,81.69365,81.67495,81.6923517,0.0187,71.65775401069519,5.08e-05
24,AUD_USD,0.6649,0.6646,0.6647242,0.0003,15200.0,-9.03e-05
24,GBP_EUR,1.156,1.1556,1.1557791,0.0004,11575.0,-0.0001952
24,USD_CAD,1.34915,1.348845,1.3489261,0.000305,14918.032786885246,-2.1e-06
24,USD_JPY,138.9535,138.924,138.9349181,0.0295,48.8135593220339,0.0002913
24,USD_MXN,19.30616,19.30062,19.3032135,0.00554,1731.0469314079423,0.0001023
24,EUR_USD,1.03385,1.033535,1.033713,0.000315,11936.507936507936,-5.66e-05
24,EUR_JPY,143.6405,143.6,143.6182763,0.0405,114.56790123456791,0.0002264
24,USD_CZK,23.5412,23.52185,23.5314612,0.01935,322.48062015503876,2.9e-06
24,USD_PLN,4.5273925,4.5252685,4.5261752,0.002124,3549.9058380414313,5.26e-05
24,USD_INR,81.69615,81.67505,81.68953,0.0211,217.0616113744076,-3.45e-05
25,AUD_USD,0.6648,0.6643,0.6645596,0.0005,11520.0,-0.0002476
25,GBP_EUR,1.1558,1.155565,1.1556542,0.000235,13702.127659574468,-0.0001081
25,USD_CAD,1.34935,1.34885,1.3490424,0.0005,12720.0,8.62e-05
25,USD_JPY,138.9605,138.923,138.9398958,0.0375,165.86666666666667,3.58e-05
25,USD_MXN,19.30875,19.30472,19.3053805,0.00403,568.2382133995038,0.0001123
25,EUR_USD,1.03395,1.03357,1.0337347,0.00038,15815.789473684212,2.1e-05
25,EUR_JPY,143.6415,143.605,143.6268595,0.0365,278.35616438356163,5.98e-05
25,USD_CZK,23.534,23.5278,23.5310381,0.0062,269.35483870967744,-1.8e-05
25,USD_PLN,4.527258,4.5248755,4.5259725,0.0023825,4100.734522560336,-4.48e-05
25,USD_INR,81.69615,81.66895,81.6845664,0.0272,213.23529411764707,-6.08e-05
26,AUD_USD,0.6646,0.6642,0.6643752,0.0004,9000.0,-0.0002775
26,GBP_EUR,1.155835,1.1554,1.1556451,0.000435,19310.344827586207,-7.9e-06
26,USD_CAD,1.349455,1.349135,1.3492598,0.00032,15093.75,0.0001612
26,USD_JPY,138.9675,138.93,138.9489792,0.0375,158.13333333333333,6.54e-05
26,USD_MXN,19.30583,19.30396,19.3049518,0.00187,1032.0855614973261,-2.22e-05
26,EUR_USD,1.03385,1.03317,1.0335038,0.00068,11529.411764705881,-0.0002234
26,EUR_JPY,143.64,143.56,143.605495,0.08,160.75,-0.0001488
26,USD_CZK,23.5445,23.52145,23.53462,0.02305,707.1583514099783,0.0001522
26,USD_PLN,4.528825,4.5252215,4.5270177,0.0036035,2159.0120715970584,0.0002309
26,USD_INR,81.69565,81.67495,81.6892386,0.0207,152.65700483091788,5.72e-05
27,AUD_USD,0.6645,0.6642,0.664323,0.0003,18900.0,-7.86e-05
27,GBP_EUR,1.1561,1.155775,1.1558964,0.000325,13015.384615384615,0.0002175
27,USD_CAD,1.34955,1.349045,1.3492724,0.000505,12534.653465346533,9.3e-06
27,USD_JPY,138.95,138.899,138.9198,0.051,110.78431372549021,-0.00021
27,USD_MXN,19.30539,19.30124,19.3039401,0.00415,1462.6506024096386,-5.24e-05
27,EUR_USD,1.03355,1.03303,1.0332732,0.00052,8173.076923076924,-0.0002231
27,EUR_JPY,143.57,143.519,143.541569,0.051,96.07843137254902,-0.0004452
27,USD_CZK,23.5527,23.52945,23.5408499,0.02325,143.2258064516129,0.0002647
27,USD_PLN,4.5297045,4.5266465,4.5282603,0.003058,1752.779594506213,0.0002745
27,USD_INR,81.69565,81.67455,81.6923442,0.0211,145.02369668246448,3.8e-05
28,AUD_USD,0.6645,0.6642,0.6643389,0.0003,19700.0,2.39e-05
28,GBP_EUR,1.1559,1.1557,1.155804,0.0002,23250.0,-7.99e-05
28,USD_CAD,1.34955,1.349135,1.3493257,0.000415,8698.795180722891,3.95e-05
28,USD_JPY,138.926,138.915,138.9220222,0.011,127.2727272727273,1.6e-05
28,USD_MXN,19.30247,19.301,19.3015876,0.00147,1244.8979591836735,-0.0001219
28,EUR_USD,1.03365,1.03334,1.0334403,0.00031,10096.774193548386,0.0001617
28,EUR_JPY,143.5945,143.535,143.5663264,0.0595,134.2857142857143,0.0001725
28,USD_CZK,23.54035,23.52685,23.5375639,0.0135,129.62962962962962,-0.0001396
28,USD_PLN,4.5284225,4.52674,4.5274505,0.0016825,2371.4710252600294,-0.0001788
28,USD_INR,81.69565,81.67315,81.6884394,0.0225,252.88888888888889,-4.78e-05
29,AUD_USD,0.6645,0.6642,0.6643668,0.0003,17666.666666666668,4.2e-05
29,GBP_EUR,1.156,1.1556,1.1558194,0.0004,23975.0,1.33e-05
29,USD_CAD,1.34965,1.34935,1.3494901,0.0003,21633.333333333336,0.0001218
