Reading,Currency,Max,Min,Mean,Vol,FD,R
99,AUD_USD,0.6658,0.6655,0.6656726,0.0003,24900,5.90E-05
100,AUD_USD,0.6658,0.6654,0.6655663,0.0004,14675,-0.0001597
1,EUR_JPY,144.0065,143.965,143.9856472,0.0415,0,0
2,EUR_JPY,143.9945,143.94,143.9637278,0.0545,257.2477064,-0.0001522
3,EUR_JPY,143.9765,143.92,143.9497181,0.0565,151.5044248,-9.73E-05
4,EUR_JPY,143.95,143.91,143.9281362,0.04,224.25,-0.0001499
5,EUR_JPY,143.93,143.895,143.9124046,0.035,281.1428571,-0.0001093
6,EUR_JPY,143.94,143.89,143.9181051,0.05,300.4,3.96E-05
7,EUR_JPY,143.9855,143.92,143.950912,0.0655,163.3587786,0.000228
8,EUR_JPY,144.03,143.955,143.9868966,0.075,101.4666667,0.00025
9,EUR_JPY,144.0305,143.9485,144.0011157,0.082,88.41463415,9.88E-05
